SAP,Equipo,Patente,SET,,,,,,,,
13228154,TRAC HYD START 6X4 SLPR,AD442YS,SET 1,,,,,,,,
13229329,TRAC HYD START 6X4 SLPR,AD406JG,SET 1,,,,,,,,
13128082,TRAC HYD START 6X4 SLPR,AD203TB,SET 1,,,,,,,,
13229323,TRAC HYD START 6X4 SLPR,AD270MX,SET 1,,,,,,,,
13123841,TRAC HYD START 6X4 SLPR,AD203TC,SET 1,,,,,,,,
13229309,TRAC HYD START 6X4 SLPR,AD270MS,SET 1,,,,,,,,
12784265,TRAC HYD START 6X4 SLPR,AA230SS,SET 2,,,,,,,,
13123813,TRAC HYD START 6X4 SLPR,AD203TL,SET 2,,,,,,,,
13228156,TRAC HYD START 6X4 SLPR,AD442YQ,SET 2,,,,,,,,
13067521,TRAC HYD START 6X4 SLPR,AC689RU,SET 2,,,,,,,,
13064299,TRAC HYD START 6X4 SLPR,AC689RZ,SET 2,,,,,,,,
13070717,TRAC HYD START 6X4 SLPR,AC899PL,SET 2,,,,,,,,
13116375,TRAC HYD START 6X4 SLPR,AC988AI,SET 2,,,,,,,,
13116387,TRAC HYD START 6X4 SLPR,AC988AQ,SET 2,,,,,,,,
13123823,TRAC HYD START 6X4 SLPR,AD191KT,SET 2,,,,,,,,
12244544,TRAC HYD START 6X4 SLPR,MRL952,SET 2,,,,,,,,
12244534,TRAC HYD START 6X4 SLPR,MRL981,SET 2,,,,,,,,
12381185,TRAC HYD START 6X4 SLPR,NKN760,SET 2,,,,,,,,
12584738,TRAC HYD START 6X4 SLPR,ODR715,SET 2,,,,,,,,
12584748,TRAC HYD START 6X4 SLPR,ODR716,SET 2,,,,,,,,
12584750,TRAC HYD START 6X4 SLPR,ODR717,SET 2,,,,,,,,
12584754,TRAC HYD START 6X4 SLPR,ODR718,SET 2,,,,,,,,
12784273,TRAC HYD START 6X4 SLPR,PJX223,SET 2,,,,,,,,
12784271,TRAC HYD START 6X4 SLPR,PJX235,SET 2,,,,,,,,
12784291,TRAC HYD START 6X4 SLPR,PLO508,SET 2,,,,,,,,
12784285,TRAC HYD START 6X4 SLPR,PLO512,SET 2,,,,,,,,
13123835,TRAC HYD START 6X4 SLPR,AD191KV,SET 2,,,,,,,,
13123819,TRAC HYD START 6X4 SLPR,AD191KW,SET 2,,,,,,,,
13128084,TRAC HYD START 6X4 SLPR,AD191KZ,SET 2,,,,,,,,
13228145,TRAC HYD START 6X4 SLPR,AD616NM,SET 2,,,,,,,,
13070723,TRAC HYD START 6X4 SLPR,AC899PS,SET 2,,,,,,,,
13067515,TRAC HYD START 6X4 SLPR,AC689RY,SET 2,,,,,,,,
13064301,TRAC HYD START 6X4 SLPR,AC689RR,SET 3,,,,,,,,
13070713,TRAC HYD START 6X4 SLPR,AC899PO,SET 3,,,,,,,,
13116367,TRAC HYD START 6X4 SLPR,AC988AO,SET 3,,,,,,,,
13116385,TRAC HYD START 6X4 SLPR,AC988AT,SET 3,,,,,,,,
13229327,TRAC HYD START 6X4 SLPR,AD406JF,SET 3,,,,,,,,
13123833,TRAC HYD START 6X4 SLPR,AD203TG,SET 3,,,,,,,,
13123821,TRAC HYD START 6X4 SLPR,AD203TJ,SET 3,,,,,,,,
13229317,TRAC HYD START 6X4 SLPR,AD270MR,SET 3,,,,,,,,
12225373,TRAC HYD START 6X4 SLPR,MQM782,SET 3,,,,,,,,
12244540,TRAC HYD START 6X4 SLPR,MRL954,SET 3,,,,,,,,
12244525,TRAC HYD START 6X4 SLPR,MRL988,SET 3,,,,,,,,
12244532,TRAC HYD START 6X4 SLPR,MUA120,SET 3,,,,,,,,
12244546,TRAC HYD START 6X4 SLPR,MUA122,SET 3,,,,,,,,
12584756,TRAC HYD START 6X4 SLPR,ODR719,SET 3,,,,,,,,
12584740,TRAC HYD START 6X4 SLPR,OEC360,SET 3,,,,,,,,
12784283,TRAC HYD START 6X4 SLPR,PJX230,SET 3,,,,,,,,
12784269,TRAC HYD START 6X4 SLPR,PJX233,SET 3,,,,,,,,
12784289,TRAC HYD START 6X4 SLPR,PLO510,SET 3,,,,,,,,
12784281,TRAC HYD START 6X4 SLPR,PLO511,SET 3,,,,,,,,
12784293,TRAC HYD START 6X4 SLPR,PLO513,SET 3,,,,,,,,
12784279,TRAC HYD START 6X4 SLPR,PLO514,SET 3,,,,,,,,
12784263,TRAC HYD START 6X4 SLPR,PLO518,SET 3,,,,,,,,
13116363,TRAC HYD START 6X4 SLPR,AC899OQ,SET 3,,,,,,,,
13116371,TRAC HYD START 6X4 SLPR,AC988AP,SET 3,,,,,,,,
13116369,TRAC HYD START 6X4 SLPR,AC899OR,SET 3,,,,,,,,
13123837,TRAC HYD START 6X4 SLPR,AD203TF,SET 3,,,,,,,,
13123839,TRAC HYD START 6X4 SLPR,AD203TH,SET 3,,,,,,,,
13123815,TRAC HYD START 6X4 SLPR,AD203TI,SET 3,,,,,,,,
